;Подготовка сервера к работе
1;Установка, настройка операционной системы MS Windows Server 2008;1950;1950;руб.
2;Установка, настройка операционной системы Linux (Slackware 13 / FreeBSD 8 / Red Hat 5);2100;2100;руб.
3;Настройка службы DNS;350;350;руб.
4;Настройка службы DHCP;950;950;руб.
5;Настройка и организация доступа файл-сервера (доступ к файлам по локальной сети);450;450;руб.
6;Организация переносимых профилей;300;300;руб.
7;Установка, настройка Active Directory (контроллера домена);1200;1200;руб.
8;Добавление пользователей в домен, настройка прав доступа;90;90;руб.
9;Установка MS SQL Server 2005 / 2008;550;550;руб.
10;Установка, настройка принт-сервера (печать по локальной сети);30;30;руб.
11;Установка, настройка антивирусных программ на сервере;170;170;руб.
12;Установка, настройка Terminal Server;600;600;руб.
13;Установка, настройка MS Exchange Server;1800;1800;руб.
14;Установка, настройка прокси-сервера / firewall на платформе MS Windows Server;1500;1500;руб.
15;Настройка службы WDS/RIS;1950;1950;руб.
16;Диагностика неисправности сервера;450;450;руб.
;Подготовка рабочей станции к работе
17;Создание и форматирование разделов на жестком диске;40;40;руб.
18;Консультирование по выбору конфигурации компьютера;30;30;руб.
19;Установка, настройка операционной системы MS Windows XP SP3 / Windows 7;400;400;руб.
20;Установка, настройка операционной системы Linux (Slackware 13 / Ubuntu 10);500;500;руб.
21;Подключение рабочей станции в локальную сеть, (без монтажных работ);30;30;руб.
22;Настройка подключения к сетевому принтеру;30;30;руб.
23;Установка/настройка принтера без настройки принт-сервера, установка драйвера;30;30;руб.
24;Установка/настройка сканера, установка драйвера;30;30;руб.
25;Установка/настройка МФУ (принтер+сканер+копир), установка драйвера;30;30;руб.
26;Установка/настройка модема, установка драйвера;30;30;руб.
27;Настройка доступа в Internet (ADSL / локальная сеть / GPRS);300;300;руб.
28;Организация одновременного доступа в Интернет для нескольких компьютеров (при отсутствии сервера);150;150;руб.
29;Поиск драйверов в сети Internet в офисе клиента при наличии выделенного канала;30;30;руб.
30;Установка, настройка системы банк-клиент;100;100;руб.
31;Установка, настройка Open Office / MS Office 2007/2010;70;70;руб.
32;Установка, настройка антивирусных программ;50;50;руб.
33;Установка, настройка почтового клиента;30;30;руб.
34;Установка, настройка интернет-пейджеров (ICQ, QIP, MSN, YAHOO, Skype, Miranda);20;20;руб.
35;Установка, настройка архиватора, файл-менеджера, программы просмотра изображений и т.п.;20;20;руб.
36;Оптимизация компьютера для более быстрой загрузки операционной системы;150;150;руб.
37;Определение "узких мест" в работе компьютера и вынесение рекомендаций по модернизации;50;50;руб.
38;Проверка на наличие вирусов и их устранение;200;200;руб.
39;Удаление ненужного программного обеспечения;50;50;руб.
40;Диагностика неисправности рабочей станции;175;175;руб.
41;Комплексная настройка компьютера;270;270;руб.
42;Настройка Terminal Client на рабочей станции;40;40;руб.
43;Настройка рабочей станции для работы с MS Exchange Server;100;100;руб.
44;Перевод офисной компьютерной техники на бесплатное программное обеспечение;200;200;руб.
45;Чистка операционной системы, освобождение места на жестком диске;60;60;руб.
;Установка и настройка оборудования
46;Приобретение и доставка мелкогабаритного оборудования;60;60;руб.
47;Замена материнской платы с перенастройкой системы;270;270;руб.
48;Замена материнской платы на идентичную модель;150;150;руб.
49;Установка жёсткого диска, с созданием разделов;80;80;руб.
50;Замена жёсткого диска, с переносом данных со старого жесткого диска;250;250;руб.
51;Замена процессора;450;450;руб.
52;Установка/замена вентилятора;50;50;руб.
53;Установка/замена FDD, CD/DVD-drive;30;30;руб.
54;Установка/замена модулей памяти;30;30;руб.
55;Установка/настройка видеокарты, установка драйвера;90;90;руб.
56;Установка/настройка звуковой карты, установка драйвера;50;50;руб.
57;Установка/настройка RAID-контроллера, установка драйвера;180;180;руб.
58;Установка/настройка сетевой карты, установка драйвера;80;80;руб.
59;Установка/замена других внутренних контроллеров;300;300;руб.
60;Установка/замена блока питания;100;100;руб.
61;Перепрошивка BIOS;280;280;руб.
;Защита, восстановление и перенос данных
62;Копирование информации с одного HDD на другой;150;150;руб.
63;Разовое сохранение документов на CD/DVD диск;50;50;руб.
64;Организация автоматической системы резервного копирования документов;1700;1700;руб.
65;Восстановление данных при разрушении файловой системы;800;800;руб.
66;Восстановление операционной системы из резервной копии;150;150;руб.
67;Восстановление поврежденных системных файлов Windows;100;100;руб.
68;Установка Windows в режиме восстановления;170;170;руб.
69;Защита данных от несанкционированного доступа с использованием шифрования;650;650;руб.
70;Создание резервной копии системных файлов для быстрого восстановления работы компьютера в случае отказа работы системы;250;250;руб.
;Проектирование, монтаж локальных сетей
71;Проектирование топологии локальной проводной сети;950;950;руб.
72;Проектирование топологии локальной беспроводной сети;1200;1200;руб.
73;Настройка Access Point (точка доступа);330;330;руб.
74;Настройка WLAN карты;50;50;руб.
75;Настройка ADSL/WLAN Router;170;170;руб.
76;Настройка VPN соединения;140;140;руб.
77;Настройка сетевого программного обеспечения для принтера;30;30;руб.
78;Установка и настройка Wi-Fi точки доступа;70;70;руб.
79;Установка и настройка оборудования IP телефонии;600;600;руб.
;Публикация информационных материалов в сети Интернет
80;Внесение изменений в DNS-записи типа A и/или CNAME для доменной зоны .гусь-хрустальный.net;300;300;руб.
81;Внесение изменений в DNS-записи типа A и/или CNAME для доменной зоны .гусь-хрустальный.org;300;300;руб.
82;Внесение изменений в DNS-записи типа A и/или CNAME для доменной зоны .гусь-хрустальный.su;300;300;руб.
83;Внесение изменений в DNS-записи типа A и/или CNAME для доменной зоны .гусевский.рф;300;300;руб.
84;Размещение прайслиста в доменной зоне .прайсборд.рф за каждую 1000 позиций в месяц;300;300;руб.
;Организация защиты персональных данных
85;Обследование здания, помещений, структуры ЛВС и рабочих мест операторов ПД;2000;2000;руб.
;Разработка организационно-распорядительной документации
86;Подготовка описания технологических процессов обработки персональных данных;1500;1500;руб.
87;Составление Перечня ИСПДн;500;500;руб.
88;Составление Перечня персональных данных;600;600;руб.
89;Разработка Приказа и Перечня общедоступных сведений;400;400;руб.
90;Разработка Частной модели угроз;3500;3500;руб.
91;Составление Акта классификации ИСПДн;500;500;руб.
92;Разработка Положения о разграничении прав доступа к обрабатываемым персональным данным;1200;1200;руб.
93;Разработка Инструкции пользователя ИСПДн;400;400;руб.
94;Разработка Инструкции парольной защиты;200;200;руб.
95;Разработка Регламента резервирования и восстановления работоспособности ТС и ПО, СУБД и СЗИ;1000;1000;руб.
96;Составление бланка Акта приема зачета по знанию нормативной базы;200;200;руб.
